Hindi,Mundari
यही तुम्हारी फूफी सास है-वह आंगन से देख रही है और उनकी बहु दरवाजे से।,हनिः दङ हतोम हुनरीः - निःदो रचाएते लेलतना अद् किमिनतेदो दुअरआते।
"इसके  लिए ऐसा सहानुभुतिपूर्ण हृदय होना चाहिए, जिसकी आँखें इनकी कला की मनोहरता को देख सकें, जिसके कान इनकी कविता के रागों की मिठास सून सकें और जिसके कण्ठ से आदिम गीतों की वह स्वर-लहरी उठे, जो वन-जीवन को झंकृत करती हुई इनके सूखे प्राणों पर बरसकर उन्हें नई हरियाली से लहलहा दे !","नेअं नतेनते नेका सहानुभूतिपुरा जीकुकुरू लगतिंग तना, ओकोएआ मेदकिन निकुवआ कला रअ जीबुलवे के लेल धड़िका, ओकोयआ लुतुर निकुवआ गमुइदि रअ रंगको रआ हेड़ेमन अयोम दड़ी ओड़ओ मोचाते आदिम दुरङको रअ एन सड़ा-लहराव बिरिदे, ओको बिर-जीउदन के झंकओलोद निकुवआ रो-ड़ो जीको रे गमाकेअद इन्कुरे नवा हरियारीते हंरियार तका।"
हिमाचल प्रदेश के ऊना की 7 साल की बेटी नलिनी सिंह का कमाल देखिए।,हिमाचल राइज रेया: ऊना रेन तुरुया सिरमा कुड़ि होन नलिनी सिंहअ बुगिन कमि लेल लेपे।
सुन रहे हैं कि चेतान दिसुम (ऊपर देश) में बिरसा नाम का युवक अपने मित्रों का एक संगठन गठित करके अंगरेजों के विरुद्ध उलगुलान (आंदोलन) शुरु किया है।,आयोमो ताना चेतान दिसुम साअः बिरसा नुतुम धांगड़ा आएआ सोंगे को जोटो के आते अंगरेज कोआः बिरूद रे उलगुलानए एटेः अकदा।
"रइगड़ा बुढ़िया - वह लड़की बच्ची, गोरी है या सांवली ?","रइगड़ा बुड़िअ - एन कुड़ि होन, दाए एसेला चिइ हेनदेअ ?"
यहाँ ध्यान देने वाली बात यह है कि बिरसा ने मिशनरियों और जमींदारों का भी लगातार विरोध किया।,नेतअःरे पहम ओम रेअः कजि नेअगे तनाचि बिरसा मिशनरिको ओड़ो जमीन्दार कोअःओ बराबरी विरोध केनःए।
"भारत देश मे पहले असुर, असुर जातियों का शासन चलता था।",भारत दिसुम रे सिदा हसुर जाति कोअ राज पाठ चलव तन केना।
उसे तो वे स्वप्न में भी नहीं पा सकेंगे।,एनादो कुमुतेओ काको नम दड़िअ ।
इन दौरों से मिली जानकारी से इन्हें सब्जी की खेती के क्षेत्र में महारत हासिल हो गयी।,ने लेपेल ते नम लेन जानकारी ते इनिः सब्जी रेन खेति रेअः क्षेत्र रे महारत हासिल होबा जना।
हमदोनों में से कोई आँख मूँद ले तो पता नहीं बाद में क्या होगा कौन कह सकता है ?,"जए जेतए मेदलङ जपिदकेरे, चिलका बनोः चिलका, ओकोए कजि दड़िअ  ?"
यह द्वीप समूह देश की सुरक्षा के लिए बहुत महत्त्वपूर्ण है।,नेअः टापु गोट दिसुम रेअः जोतोन मेनते इसु पुरअः जरूड़ुः मेनाः।
(3) खाद एवं उर्वरक देना,(3) सरा ओड़ोः उर्वरक ओम
"केराः, नागुरी तमाड़िया हसादा।","केराः नागुरी, तमाड़िया, हसादा।"
मैं देश के लिए मेडल जीतने वाले सभी खिलाड़ियों को बधाई देना चाहता हूँ।,अइञ् दिसुम लइ मेनते मेडल जितावकन सोबेन खिलाड़ि को बधाई ओमाइञ् सनङ तना।
सरकार भी अपनी भूमिका निभा रही है | साथियों कौन हिन्दुस्तानी होगा जिसको इस बात का गर्व नहीं होगा कि पिछले दिनों time magazine ने दुनिया के 100 महत्वपूर्ण tourist destination में Statue of Unity को भी अहम् स्थान दिया है |,सरकारो अपनअ् भूमिका जोगव जदाए। सोंगेको ओकोन हिन्दुस्तान रेन होड़ो मेनाईया जेताएके नेया जगर रअः माइन मनारंङ का होबाओबा चि सेनोअ् जन दिपिला time magazine दिशुम रेन 100 नुतुमन  tourist destination रे Statue of Unity केओ चेतन रे टयद को ओमाईया।
